length	links	quoted	position	sentiment	keywords	utility	author
382	4	0	1	0	60	3	Juppy
34	0	1	2	0	7	3	ACLoMiK
8	0	1	3	0	3	0	Simak793
6	0	0	4	0	1	1	menand
78	0	0	5	0	5	2	gonshik
5	0	0	6	0	1	1	Gogi
63	0	0	7	0	3	4	Лёха Самолётов
17	0	0	8	0	1	1	Albus
12	0	2	9	0	0	1	Juppy
62	0	0	10	0	13	5	molotok
26	0	0	11	0	1	1	Gregg
135	0	2	12	0	20	3	Лёха Самолётов
75	0	0	13	0	8	4	Gregg
36	1	0	14	0	2	2	Juppy
94	0	0	15	0	8	2	esaulenka
26	0	1	16	1	6	0	Лепихов Михаил
35	0	1	17	1	4	0	Juppy
13	0	0	18	0	3	2	Yurka
25	0	0	19	1	4	1	bsmbt
21	0	0	20	2	1	0	Лепихов Михаил
104	0	1	21	0	12	5	Fenix
38	0	0	22	0	8	3	Killer Tomatoes
97	0	1	23	0	8	3	Muzzleman
144	0	1	24	0	17	4	Juppy
55	0	1	25	0	9	4	Spok
95	0	0	26	0	13	3	Juppy
11	0	0	27	0	1	3	ilvo
50	0	2	28	0	4	4	Spok
22	0	0	29	0	1	0	Бивис
56	0	0	30	0	4	3	Muzzleman
378	1	0	31	0	28	4	Juppy
78	0	1	32	0	8	4	Skeptik88
33	0	0	33	0	4	2	shapirus
36	0	0	34	0	2	1	multig
20	0	1	35	0	2	1	Fenix
11	3	1	36	-1	0	3	yokep
26	0	0	37	-1	0	0	amk
43	0	0	38	1	0	0	yokep
4	0	0	39	0	1	0	gonshik
12	1	2	40	0	0	0	yokep
33	0	0	41	0	0	0	gonshik
83	1	0	42	-1	1	3	Juppy
92	0	0	43	0	3	2	Skeptik88
44	0	1	44	0	2	1	Fenix
8	0	0	45	0	0	0	Juppy
10	0	1	46	0	0	0	vladimir000000
96	0	1	47	0	2	1	Skeptik88
44	0	0	48	-2	0	0	Juppy
44	0	0	49	-2	1	0	Fenix
31	0	0	50	0	2	2	ilvo
146	0	3	51	0	14	4	Yurka
112	3	1	52	0	13	4	yokep
78	2	2	53	0	9	4	Juppy
48	0	0	54	0	3	3	Yurka
69	0	1	55	0	12	4	multig
65	0	1	56	0	7	3	yokep
41	0	0	57	0	2	3	Juppy
95	1	2	58	0	12	4	Muzzleman
101	0	3	59	0	6	3	yokep
44	0	0	60	0	4	0	Juppy
126	0	0	61	0	7	2	Muzzleman
98	1	0	62	0	8	4	Juppy
55	0	1	63	0	2	2	esaulenka
121	4	0	64	0	0	2	Juppy
44	0	1	65	0	3	1	shapirus
66	0	0	66	0	4	3	Juppy
19	0	0	67	0	4	0	Topytop
35	0	1	68	0	5	3	arymanuz
67	0	0	69	0	5	3	Nicephorus
18	0	0	70	0	2	2	pixel8848
35	0	0	71	0	3	2	ilvo
19	0	2	72	0	2	1	Nicephorus
42	0	0	73	0	5	3	Juppy
130	1	0	74	0	6	2	Slav-on
24	0	0	75	0	2	1	Juppy
48	1	1	76	0	0	1	Slav-on
110	1	0	77	0	8	1	ШеВ
133	0	0	78	0	9	4	SVKan
339	2	1	79	0	42	5	petrex
8	0	1	80	2	0	0	skyrider
73	0	0	81	-2	0	0	tufoed
16	1	0	82	0	2	1	Den4
97	1	0	83	0	6	2	Juppy
86	1	1	84	0	7	3	Dr. Boson
107	1	0	85	0	8	3	Juppy
34	0	1	86	0	4	2	tene
59	0	0	87	-1	4	1	Dr. Boson
55	0	1	88	0	5	4	A-E
80	0	0	89	0	6	2	Juppy
26	0	1	90	-1	2	0	tufoed
35	0	0	91	0	2	0	Juppy
61	0	1	92	0	1	0	tufoed
13	0	1	93	0	3	1	Juppy
47	0	0	94	0	3	0	tufoed
13	0	0	95	0	3	1	Den4
60	0	2	96	0	1	0	yokep
11	0	0	97	0	0	0	Juppy
50	0	0	98	0	0	0	shapirus
41	0	0	99	0	1	0	yokep
139	0	1	100	0	7	3	Juppy
96	0	4	101	0	6	3	yokep
70	0	0	102	0	3	1	shapirus
37	0	0	103	0	0	0	yokep
19	0	0	104	0	5	0	Double
211	0	0	105	0	13	2	Juppy
68	0	2	106	0	10	3	jurok69
89	0	2	107	-1	1	0	tufoed
157	0	5	108	0	19	1	SVKan
51	0	1	109	-1	1	0	shapirus
126	0	2	110	0	11	4	Juppy
62	0	0	111	0	2	0	tufoed
77	0	0	112	0	2	1	SVKan
65	0	0	113	0	4	1	A-E
28	0	0	114	0	4	1	tufoed
129	0	0	115	0	15	1	Juppy
313	0	0	116	0	43	4	kvarkicn
43	0	2	117	0	2	1	A-E
62	0	1	118	0	5	1	kvarkicn
68	0	0	119	0	15	1	ZaRtin
102	0	0	120	0	6	1	Juppy
11	0	1	121	0	2	0	kvarkicn
88	0	0	122	0	11	3	Juppy
43	0	0	123	0	5	1	kvarkicn
43	0	0	124	0	3	2	Juppy
49	0	0	125	0	1	1	kvarkicn
40	0	0	126	0	3	1	Juppy
35	0	0	127	0	2	1	tufoed
38	0	0	128	0	4	1	A-E
80	0	1	129	0	2	2	Juppy
1	0	0	130	1	0	1	shapirus
53	0	0	131	-1	0	0	freewind
141	0	0	132	0	6	1	jurok69
3	0	0	133	2	0	0	A-E
7	0	0	134	2	0	0	sergeivl
39	0	0	135	0	3	1	A-E
36	0	0	136	2	2	0	wonzen
9	0	0	137	0	1	0	adekcandr
57	0	1	138	2	0	0	amk
38	0	0	139	2	2	0	Juppy
26	0	0	140	2	0	0	Mexx
48	0	0	141	1	0	0	Juppy
11	0	0	142	1	0	0	Slav-on
81	0	0	143	0	1	0	yokep
79	0	0	144	0	3	0	Prof
25	0	0	145	0	0	0	A-E
21	0	0	146	0	1	0	ilvo
7	0	0	147	0	0	0	amk
60	0	1	148	0	2	0	A-E
23	0	0	149	0	2	0	Den4
159	0	4	150	0	10	0	Prof
237	0	4	151	0	20	0	shapirus
200	0	4	152	0	12	0	Prof
29	0	0	153	0	1	0	yokep
315	2	0	154	0	16	0	shapirus
57	0	0	155	0	0	0	ilvo
132	1	0	156	0	2	0	Juppy
11	0	0	157	0	0	0	Prof
50	0	0	158	0	4	0	adekcandr
77	0	1	159	1	4	0	A-E
75	0	0	160	0	4	0	SVKan
21	0	1	161	0	1	0	A-E
52	0	1	162	0	2	0	SVKan
67	0	1	163	0	1	0	freewind
