
@RELATION stat_post_1_naive_quoted

@ATTRIBUTE length NUMERIC
@ATTRIBUTE links NUMERIC
@ATTRIBUTE quoted NUMERIC
@ATTRIBUTE position NUMERIC
@ATTRIBUTE sentiment {-2, -1, 0, 1, 2}
@ATTRIBUTE keywords NUMERIC
@ATTRIBUTE utility {0, 1, 2, 3, 4, 5}

@DATA
382, 4, 1, 1, 0, 38, 3
34, 0, 2, 2, 0, 4, 3
8, 0, 1, 3, 0, 0, 0
6, 0, 0, 4, 0, 0, 1
78, 0, 0, 5, 0, 2, 2
5, 0, 0, 6, 0, 0, 1
63, 0, 0, 7, 0, 1, 4
17, 0, 0, 8, 0, 0, 1
12, 0, 3, 9, 0, 0, 1
62, 0, 0, 10, 0, 5, 5
26, 0, 0, 11, 0, 0, 1
135, 0, 0, 12, 0, 13, 3
75, 0, 1, 13, 0, 3, 4
36, 1, 1, 14, 0, 1, 2
94, 0, 0, 15, 0, 5, 2
26, 0, 1, 16, 1, 1, 0
35, 0, 4, 17, 1, 2, 0
13, 0, 0, 18, 0, 1, 2
25, 0, 0, 19, 1, 2, 1
21, 0, 0, 20, 2, 1, 0
104, 0, 1, 21, 0, 4, 5
38, 0, 0, 22, 0, 3, 3
97, 0, 1, 23, 0, 4, 3
144, 0, 0, 24, 0, 9, 4
55, 0, 1, 25, 0, 9, 4
95, 0, 1, 26, 0, 13, 3
11, 0, 0, 27, 0, 1, 3
50, 0, 2, 28, 0, 5, 4
22, 0, 0, 29, 0, 1, 0
56, 0, 0, 30, 0, 2, 3
378, 1, 0, 31, 0, 17, 4
78, 0, 3, 32, 0, 4, 4
33, 0, 0, 33, 0, 3, 2
36, 0, 0, 34, 0, 3, 1
20, 0, 1, 35, 0, 2, 1
11, 3, 1, 36, -1, 0, 3
26, 0, 1, 37, -1, 0, 0
43, 0, 0, 38, 1, 0, 0
4, 0, 0, 39, 0, 0, 0
12, 1, 2, 40, 0, 0, 0
33, 0, 0, 41, 0, 0, 0
83, 1, 0, 42, -1, 2, 3
92, 0, 2, 43, 0, 2, 2
44, 0, 1, 44, 0, 1, 1
8, 0, 0, 45, 0, 0, 0
10, 0, 1, 46, 0, 0, 0
96, 0, 2, 47, 0, 1, 1
44, 0, 2, 48, -2, 0, 0
44, 0, 0, 49, -2, 1, 0
31, 0, 0, 50, 0, 1, 2
146, 0, 0, 51, 0, 13, 4
112, 3, 2, 52, 0, 10, 4
