length	links	quoted	position	sentiment	keywords	utility
715	13	1	1	0	64	5
18	0	0	2	1	2	0
37	0	1	3	0	0	0
7	0	0	4	0	0	0
56	2	1	5	0	3	0
25	1	0	6	1	0	0
35	3	0	7	0	1	2
43	0	1	8	0	3	2
17	1	1	9	0	1	2
40	2	0	10	0	2	2
35	2	0	11	0	1	2
14	0	0	12	0	2	2
2	0	0	13	0	0	2
9	1	0	14	0	0	2
15	0	0	15	0	1	2
46	1	0	16	0	4	2
42	0	0	17	1	5	2
1	0	0	18	0	0	0
23	0	0	19	0	2	2
23	0	0	20	0	0	2
67	1	0	21	0	3	0
15	0	0	22	0	0	0
34	1	0	23	0	3	0
10	0	1	24	0	0	0
22	1	0	25	0	0	0
6	1	0	26	0	0	0
50	1	0	27	0	2	2
5	0	0	28	0	2	2
17	0	0	29	0	3	2
20	0	0	30	0	1	2
14	0	0	31	0	0	2
205	0	0	32	0	21	2
103	0	0	33	0	9	3
63	0	1	34	0	5	2
44	1	0	35	0	4	2
35	1	0	36	0	1	2
8	0	0	37	0	0	2
9	0	0	38	0	0	2
23	0	0	39	0	2	2
21	0	0	40	2	1	0
16	0	0	41	0	2	0
80	1	0	42	2	6	0
99	0	0	43	0	10	2
2	0	0	44	0	0	0
27	2	0	45	0	2	2
5	1	0	46	0	0	2
41	0	0	47	0	5	2
35	1	0	48	0	3	2
14	0	0	49	0	0	2
32	0	0	50	0	3	2
21	0	0	51	0	2	2
74	2	0	52	0	5	2
25	1	0	53	0	3	2
15	0	0	54	0	0	2
39	0	0	55	0	2	2
13	0	0	56	0	1	2
52	1	0	57	0	5	2
22	1	0	58	0	1	2
45	0	0	59	0	3	2
27	1	0	60	0	1	2
59	1	0	61	0	3	2
16	1	1	62	0	2	2
61	2	1	63	0	5	2
20	0	0	64	0	2	2
40	0	1	65	0	2	2
32	0	1	66	0	1	2
48	0	0	67	0	1	2
17	0	1	68	0	0	2
57	0	0	69	0	0	2
20	0	1	70	0	0	2
151	1	1	71	0	4	2
3	0	0	72	0	0	0
40	1	1	73	0	3	2
68	1	0	74	0	3	2
28	0	0	75	0	1	2
5	0	1	76	0	1	0
36	0	0	77	0	2	2
20	1	0	78	0	2	2
12	0	1	79	0	0	2
74	1	0	80	0	0	2
25	1	1	81	0	0	2
58	2	0	82	0	1	2
66	0	1	83	0	5	2
69	0	4	84	0	7	2
10	0	2	85	0	1	2
78	0	0	86	0	7	2
30	0	0	87	0	3	2
37	0	0	88	0	3	2
33	0	0	89	0	3	2
33	0	2	90	0	3	2
48	0	0	91	0	3	2
6	1	1	92	0	0	0
34	3	0	93	0	0	0
9	1	0	94	0	0	0
47	4	0	95	0	3	2
14	2	0	96	0	0	2
47	1	0	97	0	2	2
2	1	0	98	0	0	0
20	0	0	99	0	0	2
6	0	0	100	0	0	2
11	1	0	101	0	0	0
91	0	0	102	0	8	2
78	2	0	103	0	5	2
76	2	0	104	0	3	2
9	0	0	105	0	2	2
22	0	1	106	0	1	2
168	1	0	107	0	9	2
16	0	1	108	0	1	2
25	0	0	109	0	1	0
14	3	0	110	0	0	0
36	1	0	111	0	3	2
19	1	1	112	0	1	0
32	2	1	113	0	1	0
17	0	1	114	1	1	0
31	0	0	115	0	1	0
34	0	1	116	0	3	0
26	1	0	117	0	0	0
17	1	0	118	0	0	0
77	0	0	119	0	4	2
35	1	0	120	0	1	2
45	0	0	121	0	1	2
6	1	0	122	0	0	0
40	0	0	123	0	4	2
24	0	0	124	0	2	2
2	0	0	125	0	0	2
185	2	0	126	0	21	3
7	0	0	127	0	0	2
4	0	0	128	0	0	2
7	0	0	129	0	0	2
22	0	0	130	0	0	2
13	1	0	131	0	0	2
24	1	1	132	0	0	2
43	1	0	133	0	0	2
9	0	0	134	0	0	2
10	0	0	135	0	0	2
39	0	0	136	0	2	2
161	0	2	137	0	14	2
93	1	0	138	0	4	2
21	0	0	139	0	0	2
71	0	0	140	0	6	2
71	0	0	141	0	4	2
191	1	1	142	0	17	2
179	1	0	143	0	12	2
140	0	2	144	0	11	2
74	0	0	145	0	2	2
30	0	0	146	0	2	2
37	1	0	147	0	3	2
53	2	0	148	0	1	2
41	1	0	149	0	4	2
29	0	0	150	0	1	2
89	1	0	151	0	8	2
60	0	0	152	0	6	2
34	0	0	153	0	4	2
17	1	0	154	0	1	2
79	0	0	155	0	6	2
37	1	0	156	0	2	2
40	0	0	157	0	1	2
27	1	1	158	0	2	2
9	0	0	159	0	0	2
27	0	0	160	0	2	2
194	2	0	161	-1	11	2
103	1	1	162	0	6	2
23	0	0	163	0	0	2
18	0	0	164	0	1	2
23	0	0	165	0	2	2
21	0	0	166	0	2	2
82	0	2	167	0	5	2
92	0	0	168	0	3	2
138	0	0	169	0	10	2
32	1	0	170	0	1	2
58	0	0	171	0	2	2
54	0	1	172	0	5	2
44	0	0	173	0	5	2
2	1	0	174	0	0	0
14	0	0	175	0	0	0
16	1	0	176	0	1	2
21	0	0	177	0	3	2
10	0	0	178	0	0	2
19	0	0	179	0	1	2
15	0	0	180	0	0	2
13	0	0	181	0	0	2
13	0	0	182	0	0	2
18	0	0	183	0	2	2
98	2	0	184	0	2	2
40	0	0	185	0	1	2
29	2	0	186	0	2	2
21	0	0	187	-1	1	0
65	0	0	188	0	3	2
15	0	2	189	0	2	2
