Results for BoostingAdditiveRegressionClassifier
Ranged attributes (zero means exclude from model)
Attribute	Importance
position	431.83026294839465
keywords	222.40729466956174
length	79.9294554433809
sentiment	9.590789916528253
quoted	4.973449205644535
links	0.918513177379795
num_of_threads	0.6310070400979493
out_degree	0.3121185488618162
betweenness	0.0
in_degree	0.0
betweenness_sent	0.0
in_degree_sent	0.0
out_degree_sent	0.0
utility	0.0
Post count	Quantile 10%	Quantile 50%	Quantile 90%
0	0.20000000000000007	0.8	0.19999999999999996
1	0.20000000000000007	0.8	0.19999999999999996
2	0.13333333333333341	0.8	0.1333333333333333
3	0.15000000000000002	0.8	0.09999999999999998
4	0.12	0.8	0.07999999999999996
5	0.13793103448275856	0.8275862068965517	0.06896551724137934
6	0.09090909090909094	0.8181818181818182	0.09090909090909083
7	0.08108108108108103	0.8378378378378378	0.08108108108108114
8	0.09756097560975607	0.8536585365853658	0.07317073170731714
9	0.11111111111111116	0.8666666666666667	0.06666666666666665
10	0.10204081632653061	0.8775510204081632	0.061224489795918435
11	0.09433962264150941	0.8679245283018868	0.05660377358490565
12	0.10526315789473684	0.8771929824561403	0.052631578947368474
13	0.08196721311475408	0.8688524590163934	0.06557377049180335
14	0.09230769230769231	0.8769230769230769	0.06153846153846154
15	0.10144927536231885	0.8840579710144928	0.05797101449275355
16	0.0821917808219178	0.8767123287671232	0.0547945205479452
17	0.07792207792207784	0.8701298701298701	0.06493506493506496
18	0.0864197530864198	0.8765432098765432	0.04938271604938271
19	0.07058823529411762	0.8705882352941177	0.05882352941176472
20	0.0674157303370787	0.8651685393258427	0.0561797752808989
21	0.06451612903225812	0.8709677419354839	0.043010752688172005
22	0.061855670103092786	0.865979381443299	0.04123711340206182
23	0.05999999999999994	0.87	0.040000000000000036
24	0.058252427184465994	0.8737864077669902	0.03883495145631077
25	0.05660377358490565	0.8679245283018868	0.047169811320754707
26	0.05504587155963303	0.8715596330275229	0.04587155963302758
27	0.0535714285714286	0.875	0.044642857142857095
28	0.05217391304347829	0.8782608695652174	0.04347826086956519
29	0.05084745762711862	0.8813559322033898	0.0423728813559322
30	0.05785123966942152	0.8842975206611571	0.04132231404958675
31	0.048387096774193505	0.8790322580645161	0.048387096774193505
32	0.047244094488189003	0.8818897637795275	0.03937007874015752
33	0.0461538461538461	0.8846153846153846	0.03846153846153855
34	0.045112781954887216	0.8796992481203008	0.045112781954887216
35	0.044117647058823484	0.8823529411764706	0.044117647058823595
36	0.05035971223021585	0.8848920863309353	0.042446043165467406
37	0.04225352112676062	0.8802816901408451	0.04225352112676051
38	0.0482758620689655	0.8827586206896552	0.04137931034482756
39	0.04729729729729737	0.8783783783783784	0.04054054054054057
40	0.04635761589403964	0.8807947019867549	0.039735099337748436
41	0.045454545454545414	0.8766233766233766	0.045454545454545414
42	0.05095541401273884	0.8789808917197452	0.04458598726114649
43	0.043749999999999956	0.875	0.043749999999999956
44	0.049079754601227044	0.8773006134969326	0.04233128834355815
45	0.04819277108433728	0.8734939759036144	0.04216867469879515
46	0.047337278106508895	0.8698224852071006	0.041420118343195256
47	0.05232558139534882	0.872093023255814	0.04069767441860461
48	0.05142857142857138	0.8685714285714285	0.040000000000000036
49	0.050561797752809	0.8651685393258427	0.0449438202247191
50	0.04972375690607733	0.861878453038674	0.04419889502762431
51	0.0434782608695653	0.8586956521739131	0.04347826086956519
52	0.053475935828877	0.8609625668449198	0.03743315508021394
53	0.052631578947368474	0.8578947368421053	0.04210526315789476
54	0.04663212435233166	0.8549222797927462	0.041450777202072464
55	0.05102040816326536	0.8520408163265306	0.04081632653061229
56	0.05025125628140703	0.8492462311557789	0.04020100502512558
57	0.04950495049504944	0.8465346534653465	0.03960396039603964
58	0.04878048780487798	0.8439024390243902	0.039024390243902474
59	0.048309178743961345	0.8454106280193237	0.03864734299516914
60	0.05263157894736836	0.84688995215311	0.038277511961722466
61	0.04739336492891	0.8436018957345972	0.042654028436018954
62	0.04694835680751175	0.8450704225352113	0.04225352112676062
63	0.046511627906976716	0.8465116279069768	0.041860465116279055
64	0.04608294930875578	0.847926267281106	0.03686635944700467
