length	links	quoted	position	sentiment	keywords	utility	author
382	4	1	1	0	14	3	Juppy
34	0	2	2	0	0	3	ACLoMiK
8	0	1	3	0	0	0	Simak793
6	0	0	4	0	0	1	menand
78	0	0	5	0	0	2	gonshik
5	0	0	6	0	0	1	Gogi
63	0	0	7	0	0	4	Лёха Самолётов
17	0	0	8	0	0	1	Albus
12	0	3	9	0	0	1	Juppy
62	0	0	10	0	4	5	molotok
26	0	0	11	0	0	1	Gregg
135	0	0	12	0	2	3	Лёха Самолётов
75	0	1	13	0	0	4	Gregg
36	1	1	14	0	2	2	Juppy
94	0	0	15	0	3	2	esaulenka
26	0	1	16	1	0	0	Лепихов Михаил
35	0	4	17	1	0	0	Juppy
13	0	0	18	0	1	2	Yurka
25	0	0	19	1	0	1	bsmbt
21	0	0	20	2	0	0	Лепихов Михаил
104	0	1	21	0	3	5	Fenix
38	0	0	22	0	1	3	Killer Tomatoes
97	0	1	23	0	2	3	Muzzleman
144	0	0	24	0	3	4	Juppy
55	0	1	25	0	1	4	Spok
95	0	1	26	0	2	3	Juppy
11	0	0	27	0	0	3	ilvo
50	0	2	28	0	0	4	Spok
22	0	0	29	0	0	0	Бивис
56	0	0	30	0	0	3	Muzzleman
378	1	0	31	0	3	4	Juppy
78	0	3	32	0	2	4	Skeptik88
33	0	0	33	0	0	2	shapirus
36	0	0	34	0	0	1	multig
20	0	1	35	0	0	1	Fenix
11	3	1	36	-1	0	3	yokep
26	0	1	37	-1	0	0	amk
43	0	0	38	1	1	0	yokep
4	0	0	39	0	0	0	gonshik
12	1	2	40	0	1	0	yokep
33	0	0	41	0	2	0	gonshik
83	1	0	42	-1	3	3	Juppy
92	0	2	43	0	0	2	Skeptik88
44	0	1	44	0	1	1	Fenix
8	0	0	45	0	0	0	Juppy
10	0	1	46	0	0	0	vladimir000000
96	0	2	47	0	2	1	Skeptik88
44	0	2	48	-2	0	0	Juppy
44	0	0	49	-2	0	0	Fenix
31	0	0	50	0	0	2	ilvo
146	0	0	51	0	0	4	Yurka
112	3	2	52	0	0	4	yokep
78	2	2	53	0	2	4	Juppy
48	0	1	54	0	0	3	Yurka
69	0	3	55	0	0	4	multig
65	0	2	56	0	0	3	yokep
41	0	2	57	0	0	3	Juppy
95	1	3	58	0	1	4	Muzzleman
101	0	2	59	0	0	3	yokep
44	0	1	60	0	1	0	Juppy
126	0	1	61	0	0	2	Muzzleman
98	1	2	62	0	0	4	Juppy
55	0	1	63	0	0	2	esaulenka
121	4	0	64	0	0	2	Juppy
44	0	1	65	0	0	1	shapirus
66	0	0	66	0	0	3	Juppy
19	0	0	67	0	1	0	Topytop
35	0	1	68	0	1	3	arymanuz
67	0	0	69	0	2	3	Nicephorus
18	0	0	70	0	0	2	pixel8848
35	0	0	71	0	0	2	ilvo
19	0	2	72	0	1	1	Nicephorus
42	0	1	73	0	1	3	Juppy
130	1	0	74	0	4	2	Slav-on
24	0	1	75	0	0	1	Juppy
48	1	0	76	0	0	1	Slav-on
110	1	0	77	0	0	1	ШеВ
133	0	0	78	0	0	4	SVKan
339	2	0	79	0	4	5	petrex
8	0	1	80	2	0	0	skyrider
73	0	0	81	-2	1	0	tufoed
16	1	0	82	0	0	1	Den4
97	1	0	83	0	1	2	Juppy
86	1	1	84	0	1	3	Dr. Boson
107	1	0	85	0	1	3	Juppy
